,Date,Open,High,Low,Close,Adj Close,Volume,Name
447,2020-01-27,779.05,784.8,774.4,778.1,729.01,3741610,INFOSYS
448,2020-01-28,781.0,781.8,772.0,778.0,728.92,5121009,INFOSYS
449,2020-01-29,786.6,792.8,784.25,789.7,739.88,6832757,INFOSYS
450,2020-01-30,789.7,789.7,778.0,780.7,731.45,3859680,INFOSYS
451,2020-01-31,780.55,784.95,771.6,775.95,727.0,6092028,INFOSYS
452,2020-02-03,782.0,790.95,764.5,767.4,718.99,6416745,INFOSYS
453,2020-02-04,770.1,789.9,770.1,787.85,738.15,5771311,INFOSYS
454,2020-02-05,781.0,786.0,774.4,784.55,735.05,6310409,INFOSYS
455,2020-02-06,784.35,786.8,770.0,771.35,722.69,7341622,INFOSYS
456,2020-02-07,775.95,778.85,771.0,777.3,728.26,2853344,INFOSYS
457,2020-02-10,774.0,778.0,769.75,773.2,724.42,3827682,INFOSYS
458,2020-02-11,779.0,779.1,769.2,773.55,724.75,4312817,INFOSYS
459,2020-02-12,775.8,783.25,775.1,781.05,731.77,2948825,INFOSYS
460,2020-02-13,785.0,794.0,782.2,792.25,742.27,4387430,INFOSYS
461,2020-02-14,794.5,799.2,784.6,786.45,736.83,5321680,INFOSYS
462,2020-02-17,790.3,793.45,783.3,789.45,739.64,2929629,INFOSYS
463,2020-02-18,785.0,799.05,783.65,797.65,747.33,5083346,INFOSYS
464,2020-02-19,800.0,804.85,796.15,800.45,749.95,3985192,INFOSYS
465,2020-02-20,803.25,806.1,793.85,797.0,746.72,4564569,INFOSYS
466,2020-02-24,800.1,811.6,792.15,795.85,745.64,6627536,INFOSYS
467,2020-02-25,799.0,806.0,795.4,798.4,748.03,6996695,INFOSYS
468,2020-02-26,793.95,801.45,780.5,782.75,733.37,8760569,INFOSYS
469,2020-02-27,778.0,780.75,772.2,777.85,728.78,5223386,INFOSYS
470,2020-02-28,750.0,756.8,722.05,731.7,685.54,14123957,INFOSYS
471,2020-03-02,737.0,765.9,733.75,741.05,694.3,9821523,INFOSYS
472,2020-03-03,755.0,759.0,741.25,747.0,699.87,7826587,INFOSYS
473,2020-03-04,753.9,761.5,745.55,758.75,710.88,11013444,INFOSYS
474,2020-03-05,763.75,773.55,751.75,754.6,706.99,7755293,INFOSYS
475,2020-03-06,741.0,744.0,729.1,738.95,692.33,9216022,INFOSYS
476,2020-03-09,724.5,725.85,697.0,704.45,660.01,10308654,INFOSYS
477,2020-03-11,690.65,695.95,669.05,686.0,642.72,16165009,INFOSYS
478,2020-03-12,668.0,670.0,627.5,631.2,591.38,13965574,INFOSYS
479,2020-03-13,592.0,667.0,570.0,642.35,601.83,16903113,INFOSYS
480,2020-03-16,622.0,622.15,580.0,583.15,546.36,19140152,INFOSYS
481,2020-03-17,588.1,592.0,550.0,554.95,519.94,16059887,INFOSYS
482,2020-03-18,568.0,578.0,528.0,534.3,500.59,15390183,INFOSYS
483,2020-03-19,509.25,558.0,509.25,545.55,511.13,16583991,INFOSYS
484,2020-03-20,549.5,617.45,548.0,585.2,548.28,21354894,INFOSYS
485,2020-03-23,540.0,560.95,515.9,526.45,493.24,17146150,INFOSYS
486,2020-03-24,522.0,601.15,522.0,589.8,552.59,20027097,INFOSYS
487,2020-03-25,597.0,635.0,565.7,606.2,567.96,18339548,INFOSYS
488,2020-03-26,615.0,650.85,612.1,643.0,602.43,14843813,INFOSYS
